booking_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,arrival_date,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
HB-046953,City Hotel,1,25,2024,January,5,29,2024-01-29,0,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,78.3,0,0
HB-110337,City Hotel,0,69,2025,April,17,21,2025-04-21,2,3,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,108.0,0,0
HB-011378,Resort Hotel,1,223,2025,May,18,4,2025-05-04,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,177.0,,0,Transient,68.4,0,1
HB-112726,City Hotel,0,178,2025,May,21,25,2025-05-25,0,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,2
HB-027094,Resort Hotel,0,7,2024,August,34,19,2024-08-19,0,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,339.0,,0,Transient-Party,140.0,0,0
HB-007140,Resort Hotel,1,162,2024,July,30,23,2024-07-23,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,160.0,0,0
HB-091892,City Hotel,0,53,2024,June,26,24,2024-06-24,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,C,0,No Deposit,1.0,,0,Transient-Party,65.0,0,1
HB-002217,Resort Hotel,1,1,2023,October,40,6,2023-10-06,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,94.0,0,Transient,37.0,0,0
HB-112800,City Hotel,0,179,2025,May,21,25,2025-05-25,1,3,2,0.0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,111.0,0,1
HB-037034,Resort Hotel,0,130,2025,June,23,2,2025-06-02,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,132.0,0,1
HB-114611,City Hotel,0,149,2025,June,26,24,2025-06-24,0,1,2,0.0,0,HB,USA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,495.0,,0,Transient-Party,154.0,0,1
HB-079912,City Hotel,0,47,2023,November,44,5,2023-11-05,0,2,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,105.5,0,2
HB-002460,Resort Hotel,1,50,2023,October,42,18,2023-10-18,1,0,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,59.4,0,1
HB-085889,City Hotel,0,63,2024,March,12,24,2024-03-24,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,14.0,,0,Transient,0.0,0,0
HB-060511,City Hotel,1,105,2024,November,46,12,2024-11-12,2,5,2,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,102.83,0,3
HB-038213,Resort Hotel,0,27,2025,July,28,12,2025-07-12,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient-Party,174.0,0,0
HB-105863,City Hotel,0,88,2025,February,7,14,2025-02-14,0,3,2,1.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,111.6,0,2
HB-107158,City Hotel,0,0,2025,March,10,9,2025-03-09,0,0,0,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,0,A,K,0,No Deposit,15.0,,0,Transient,0.0,0,0
HB-022632,Resort Hotel,0,3,2024,March,13,29,2024-03-29,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,58.0,0,0
